"Year","SSB","SSB_95_lo","SSB_95_hi","Recr","Recr_95_lo","Recr_95_hi","Freport","Freport_95_lo","Freport_95_hi"
1968,734252.3,601103.62,867400.98,4960514,4100956,5820072,0.1589892,0.10087716,0.21710124
1969,1095168,928515.08,1261820.92,1451392,985931.2,1916852.8,0.150319,0.09856912,0.20206888
1970,1142913,975460.4,1310365.6,2722692,2087377.6,3358006.4,0.2167981,0.14533846,0.28825774
1971,1162743,994337.84,1331148.16,907986.4,585331.2,1230641.6,0.3407021,0.23429174,0.44711246
1972,1178993,998139.88,1359846.12,1187518,857454,1517582,0.3655351,0.25206874,0.47900146
1973,813892.4,684518.68,943266.12,815893.1,573519.5,1058266.7,0.5306065,0.37858694,0.68262606
1974,586371.4,488224.4,684518.4,1194373,915367,1473379,0.6094953,0.4381423,0.7808483
1975,393038.8,326824.12,459253.48,1046993,847327.8,1246658.2,0.7197009,0.5252591,0.9141427
1976,264359.5,226476.62,302242.38,176043.7,125826.54,226260.86,0.9405936,0.7051388,1.1760484
1977,221478,186672.32,256283.68,36519.22,18176.168,54862.272,0.3747933,0.25692674,0.49265986
1978,207582.5,170730.58,244434.42,50301.19,28837.23,71765.15,0.1377614,0.08958852,0.18593428
1979,184992.8,149020.92,220964.68,131796.4,91618.36,171974.44,0.1813018,0.11785464,0.24474896
1980,179408.3,142064.42,216752.18,26902.04,10147.96,43656.12,0.1508418,0.0977454,0.2039382
1981,156916.9,121095.94,192737.86,187050.8,127321.76,246779.84,0.193841,0.12454324,0.26313876
1982,163614,126677.8,200550.2,446128.1,343674.98,548581.22,0.1847785,0.1170605,0.2524965
1983,217806.7,180921.46,254691.94,2146865,1879031,2414699,0.1559192,0.10227988,0.20955852
1984,437711.8,384870.2,490553.4,89629.38,45066.82,134191.94,0.1128014,0.075189,0.1504138
1985,488326.1,429314.42,547337.78,189118.9,126496.9,251740.9,0.1589501,0.10716494,0.21073526
1986,452411.5,394713.02,510109.98,92157.27,51581.35,132733.19,0.1646462,0.11060116,0.21869124
1987,364446.3,314601.54,414291.06,117370,73087.72,161652.28,0.237624,0.16006288,0.31518512
1988,297136.6,253718.68,340554.52,404432.1,315175.66,493688.54,0.2985658,0.20959552,0.38753608
1989,291626.6,250427.4,332825.8,537517.7,437398.94,637636.46,0.2992878,0.207354,0.3912216
1990,238241.6,205719.32,270763.88,110282,73412.44,147151.56,0.4228011,0.29715138,0.54845082
1991,231998.8,199690.16,264307.44,185869.6,139311.76,232427.44,0.3405026,0.23557204,0.44543316
1992,178290.7,152314.82,204266.58,196754.5,149689.02,243819.98,0.2570865,0.17357678,0.34059622
1993,152459.4,128531.72,176387.08,37398.35,19333.422,55463.278,0.2582993,0.17365474,0.34294386
1994,123175.6,102583.84,143767.36,145342.1,105846.14,184838.06,0.320099,0.2182084,0.4219896
1995,116042.4,95870.08,136214.72,170518.4,126485.04,214551.76,0.2679588,0.17816728,0.35775032
1996,105864,87095.04,124632.96,172737.1,127455.22,218018.98,0.4522516,0.30457932,0.59992388
1997,104382.8,85658.136,123107.464,225649.6,170365.84,280933.36,0.4795878,0.31965376,0.63952184
1998,90322.59,71940.142,108705.038,109036.7,71614.42,146458.98,0.4682261,0.3045759,0.6318763
1999,86622.73,66981.57,106263.89,177710.9,122595.7,232826.1,0.4548248,0.28561212,0.62403748
2000,152216.9,127087.74,177346.06,1176531,992118.52,1360943.48,0.2429349,0.15408026,0.33178954
2001,247803.8,209728.84,285878.76,198597.5,130113.14,267081.86,0.2333134,0.15289852,0.31372828
2002,243977.9,203676.38,284279.42,157945.6,96570.16,219321.04,0.2915537,0.19515698,0.38795042
2003,219156.6,179417.6,258895.6,373173.1,267223.34,479122.86,0.4040062,0.26960116,0.53841124
2004,180605,148214.04,212995.96,795143.8,627371.72,962915.88,0.6842636,0.4696044,0.8989228
2005,167335.9,136799.1,197872.7,198066.4,130930.52,265202.28,0.686179,0.4768314,0.8955266
2006,116328,94689.6,137966.4,397827.8,303720.36,491935.24,0.9467429,0.6794381,1.2140477
2007,97524.36,78989.424,116059.296,110809.5,72885.46,148733.54,0.9129679,0.6373919,1.1885439
2008,61953.76,47914.476,75993.044,236719.9,173415.82,300023.98,0.9065108,0.6189592,1.1940624
2009,44576.7,35121.856,54031.544,198701.5,149474.14,247928.86,1.539957,1.105229,1.974685
2010,27594.71,22185.894,33003.526,30939.56,19054.708,42824.412,2.03807,1.5313316,2.5448084
2011,17718.39,14056.718,21380.062,133408.6,104704.4,162112.8,1.122141,0.7583846,1.4858974
2012,18685,15137.596,22232.404,91473.31,69486.03,113460.59,1.230365,0.8366206,1.6241094
2013,18145.7,14352.904,21938.496,41563.99,28289.106,54838.874,1.143484,0.7827264,1.5042416
2014,15329.54,11748.816,18910.264,83800.3,62352.02,105248.58,1.063188,0.7182868,1.4080892
2015,16773.93,12936.642,20611.218,131513.9,101153.5,161874.3,1.000784,0.6554712,1.3460968
2016,24476.63,19465.302,29487.958,316569.6,260466.56,372672.64,0.7743932,0.5130272,1.0357592
2017,31504.66,25859.076,37150.244,23392.21,12769.206,34015.214,0.7328059,0.4987819,0.9668299
2018,30388.26,24196.228,36580.292,104960.4,77128.4,132792.4,0.743079,0.5080554,0.9781026
2019,23505.11,18043.57,28966.65,51031.08,33533.572,68528.588,0.7172468,0.470914,0.9635796
2020,17048.08,11386.424,22709.736,64855.96,34795.44,94916.48,1.067231,0.6551998,1.4792622
2021,12321.33,4130.49,20512.17,67745.15,16224.59,119265.71,1.065001,0.3226314,1.8073706
2022,19017.19,1835.438,36198.942,252424.5,-4531.5,509380.5,0.1777631,0.00346814000000001,0.35205806
